title,entity_type,source_page,evidence_snippet,status,review_reason,entity_id,kb_id
Changement de filtre d’aspiration,maintenance_task,18,"Changement de filtre d’aspiration
Procédez comme suit pour changer les filtres:",ready,,4de89214-ace8-4115-993c-9cf493d92e92,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Changement du filtre d'aspiration à retour,maintenance_task,17,"Changement de filtre d’aspiration à retour
Le filtre d’aspiration à retour SRA 3 SLP005 est pourvu d’un raccord d’aspiration. Deux rac-
cords de mesure sont disponibles sur le retour pour la surveillance de pression et de tempéra-
ture. Un raccord de mesure est également intégré à la conduite d’aspiration. Le filtre est en
outre pourvu de tamis de protection optimale ment dimensionnés sur la valve by-pass et de
post-aspiration, ainsi que d’une valve de purge d’air à orifice combiné détendeur de pression.
A chaque renouvellement de filtre, il faudra donc contrôler la barre magnétique intégrée (con-
centration inhabituellement élevée de particules externes).
1 Couvercle
2 Barre magnétique
3 Valve de purge d’air
4 Cartouche de filtre
5 Vis à six pans creux
6 Contrôle du filtre
Pour changer les filtres d'aspiration à retour, procédez comme suit:",ready,,d78e5982-400e-4c67-91f4-a727450aee32,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Changer tous les tuyaux hydrauliques,maintenance_task,15,"Entretien tous les 5 ans
Sous-groupe Contenu
Hydraulique ▪ Remplacer tous les tuyaux hydrauliques
La durée d'utilisation des flexibles hydrauliques doit être déterminée par l'exploitant confor-
mément aux prescriptions locales en vigueur (par ex. DIN 20066) et ne devrait pas dépasser
six ans, stockage compris.",ready,,3f9d836d-2916-48ca-a314-0ee068f93bea,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Cleanfix,system,1,Cleanfix,ready,,a532651f-fe7c-4315-b326-dd693a874ce8,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
"Contrôler le système de refroidissement, le nettoyer et changer le liquide de refroidissement",maintenance_task,15,"Entretien toutes les 3000 heures ou une fois par an
Sous-groupe Contenu
Radiateur ▪ Contrôler le système de refroidissement, le nettoyer et changer le liquide de refroidissement",ready,,8f3edc5f-fe32-4734-b230-bc48f7ea8616,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Entretien après 10 heures,maintenance_task,10,"Entretien après 10 heures
Sous-groupe Contenu
Élements de
filtre
▪ Changer le filtre d'aspiration à retour (5 μm contre 10 μm)
Les éléments filtrants pour ce changement sont inclus dans la livraison.
Train de
roulement à
chenilles
▪ Resserrer des vis du pignon d’entraînement
▪ Serrer les vis de la chaîne",ready,,4aabe2b8-41a4-4231-b327-069f7dba64eb,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Entretien après 100 heures ou un mois,maintenance_task,10,"Entretien après 100 heures ou un mois
Sous-groupe Contenu
Eléments de
filtre
▪ Remplacer les filtres d’huile hydraulique
▪ Changer filtre d'aération du réservoir
Hydraulique ▪ Resserrer les vis situées sur les flancs des flexibles haute pression hydrauliques situés entre
pompes et moteurs
Engrenage ▪ Changement de l’huile pour engrenages
Train de roule-
ment à chenilles
▪ Changer l'huile du train de roulement à chenilles
▪ Retendre les chaînes du train de roulement à chenilles
▪ Contrôler et resserrer toutes les vis du train de roulement à chenilles
▪ Resserrer des vis du pignon d’entraînement
▪ Serrer les vis de la chaîne
Convoyeur de
déchargement
▪ Changer l'huile de la boîte de vitesses.",ready,,5184ed70-4131-4d0f-9814-c9f570174987,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Entretien après 16 heures ou 2 jours de fonctionnement,maintenance_task,10,"Entretien après 16 heures ou 2 jours de fonctionnement
Sous-groupe Contenu
Moteur ▪ Vérifier la courroie trapézoïdale du moteur
Réducteur ▪ Resserrer toutes les vis de fixation
Autres ▪ Resserrer toutes les vis, notamment sur tôles de râteaux, palier des rotors, trémie et fixation
de moteur.",ready,,25147f4e-6c83-4d28-96ba-ac9d4536aaed,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Entretien après 500 heures,maintenance_task,11,"Entretien après 500 heures
Sous-groupe Contenu
Convoyeur de
déchargement
▪ Changer l'huile de la boîte de vitesses
Train de roule-
ment à chenilles
▪ Changer l'huile du train de roulement à chenilles
Engrenage ▪ Changement de l’huile pour engrenages",ready,,38cb3309-5fb7-47af-8149-0b94ec2fde97,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
Entretien mensuel ou toutes les 150 heures,maintenance_task,14,"Entretien mensuel ou toutes les 150 heures
Sous-groupe Contenu
Trémie ▪ Lubrifier le point de rotation de la trémie",ready,,d12c745e-1d5b-4eac-bf7b-6b19d3cc1329,dd7ba46c-7a26-4f11-9d01-c8913f7045fe
